objectid,parentid,filename,title,creator,date,archival date,description,subject,source,finding aid,format original,format,digital collection,contributing institution,language,rights,rightsstatement,notes,identifier,musicians,location,latitude,longitude,type,digital collection link,display_template,object_location,image_small,image_thumb
cheatham001,,ijcmg008_b001_f001-001.jpg,Doc Cheatham at recording session,,,undated,"Doc Cheatham lounges in a chair and laughs at something to the right of the camera. Cheatham wears a black jacket, khaki pants, white dress shirt, red tie with trumpets, drums, double basses, and piano keyboards on it, and has a red pocket-square. In front of him is a microphone covered in a red windscreen. Behind him to the right is an assembled open high-hat, and to the left is a silver tom drum with a worn head and a cymbal resting on the wall. ",recording; jazz musician; jazz trumpet; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94027,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-001,,,,,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-001.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-001_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-001_th.jpg
cheatham002,,ijcmg008_b001_f001-002.jpg,Doc Cheatham holding trumpet and trumpet mute,,,undated,"Doc Cheatham holds his trumpet in his right hand and a copper pixie trumpet straight mute in his left hand. The mute was given to him in 1924 by Joseph ""King"" Oliver (1885-1938), who was being followed around by young Cheatham and had a valet gift the mute to make Cheatham go away (I Guess I'll Get the Papers and Go Home pg 15). Cheatham wears a brown dress shirt, black thick-framed glasses, a brown-strap watch, and sports a grey mustache. He stands in front of bushes of little pink flowers outside a red-brick building.",trumpet; trumpet mute; jazz trumpet; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94028,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-002,"Joe ""King"" Oliver",,,,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-002.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-002_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-002_th.jpg
cheatham003,,ijcmg008_b001_f001-003.jpg,Doc Cheatham smiling with hands in pockets,,1991-09-05,5 September 1991,"Doc Cheatham stands with both hands in pockets of his grey dress pants. He smiles with a toothpick between his teeth. He also wears black-rimmed glasses, red suspenders with a vertical navy stripe down the middle and gold clips, a red tie with various musical instruments on it, a navy jacket, and has a red pocket-square in his left pocket and a pin on the right side. Cheatham stands in front of a closet with coats hanging on a rack, and to the left, the tiled floor, bach mat, shower curtain, and trash can of a bathroom is visible.",jazz trumpet; color photograph; jazz musician,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94029,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-003,,,,,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-003.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-003_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-003_th.jpg
cheatham004,,ijcmg008_b001_f001-004.jpg,"Doc Cheatham, Butch Thompson, and Brian O'Connell",,,undated,"On the left, Brian O'Connell plays clarinet while sitting on a wooden chair with his back to the camera. On the right, Doc Cheatham plays trumpet with his right hand while holding and looking at sheet music in his left hand. He sits in a folding chair with a black vest and blue sweater draped over it. Cheatham's hair is combed from the back to the front of his head. He wears grey dress clothes. Between O'Connell and Cheatham is pianist Butch Thompson (1943-2022), playing on a wooden upright piano. On sticky note on a different picture of this room is written, ""Brian and Hiroko's piano room,"" presumably that of O'Connell and his wife, Hiroko.",clarinet; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94030,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-004,Butch Thompson; Brian O'Connell,"New Orleans, Louisiana",29.951065,-90.071533,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-004.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-004_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-004_th.jpg
cheatham005,,ijcmg008_b001_f001-005.jpg,Doc Cheatham in performance with others,,1993,1991-1995,"Doc Cheatham plays his trumpet aimed forward, parallel to the ground. Second from the right, Cheatham is sitting on a wooden stool and wears a brown dress shirt, black bolo tie, brown watch, grey jacket and pants, and black socks and shoes. To the left are Pud Brown (1917-1996) and trumpeter Lionel Ferbos (1911-2019), wearing white dress shirts, black ties, and pants. Behind and between them is Ernie Ellie (1942-) behind a drumset. The almost-bald Lionel Ferbos holds his trumpet down and watches Doc Cheatham seriously through black-rimmed glasses.  On the far left, Brown plays clarinet intently, eyes closed behind wire-frame glasses. In front of him are a saxophone and clarinet on stands. To the right of Cheatham is trombonist Fred Lonzo (1950-) pointing his instrument down and watching Cheatham. Behind the musicians is a brick wall with large framed photographs in the Palm Court Jazz Cafe.",jazz band; trombone; trumpet; clarinet; live music; music performance; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94031,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-005,Pud Brown; Ernie Elly; Fred Lonzo;,"New Orleans, Louisiana",29.96167633,-90.0590975,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-005.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-005_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-005_th.jpg
cheatham006,,ijcmg008_b001_f001-006.jpg,Doc Cheatham plays trumpet while Butch Thompson plays piano,,,undated,"Doc Cheatham aims his trumpet up to the heavens in a practice session. In the mirror to the right of him, pianist Butch Thompson (1943-2022) can be seen. Behind Cheatham's left is a big, six-pane window with a blue wooden frame. Clarinetist Brian O'Connell is also present.",trumpet; jazz musician; color photograph; hiroko o'connell,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94032,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-006,Butch Thompson; Brian O'Connell,"New Orleans, Louisiana",29.951065,-90.071533,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-006.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-006_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-006_th.jpg
cheatham007,,ijcmg008_b001_f001-008.jpg,Doc Cheatham holding trumpet outside,,,undated,"Doc Cheatham sits on a wooden stool with brown leather top, holding his trumpet in both hands. He wears black-rimmed glasses, a brown bolo tie, lighter brown dress shirt, red suspenders with a navy stripe down the middle and gold clips, and grey dress pants. Cheatham is outside a brick building in the daylight.",trumpet; jazz musician; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94033,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-008,,,,,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-008.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-008_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-008_th.jpg
cheatham008,,ijcmg008_b001_f001-009.jpg,Doc Cheatham and Butch Thompson in a practice session,,,undated,"Doc Cheatham sits angled to the right on a stool in front of a mirror hung on a wooden wall. His hair is combed from the back of his head to the front. In his autobiography, I Guess I'll Get the Papers and Go Home, he writes that he combs his hair forward because ""I used to be troubled with cysts on the back of my neck...when I was in Japan, I went to a barbershop, and the woman who was doing me hair...told me I had an allergy due to my hair on my neck"" (1995; pg 85). He wears a black bolo tie, red suspenders, a brown dress shirt, and grey jacket and pants. Pianist Butch Thompson (1943-2022) is visible in the mirror. ",combover; jazz musician; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94034,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-009,Butch Thompson,"New Orleans, Louisiana",29.96167633,-90.0590975,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-009.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-009_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-009_th.jpg
cheatham009,,ijcmg008_b001_f001-011.jpg,Doc Cheatham smiling in recording session,,,undated,"Doc Cheatham sits in a chair and smiles at a recording session. Cheatham wears black-rimmed glasses, a white dress shirt, red tie with various musical instruments, navy jacket with red pocket-square, grey pants, and black socks and shoes.",trumpet; jazz musician; recording; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94035,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f001-011,,,,,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f001-011.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f001-011_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f001-011_th.jpg
cheatham010,,ijcmg008_b001_f002_f003-001.jpg,Doc Cheatham relaxing aboard S.S. Norway,,1990-11,November 1990,"Doc Cheatham lounges in a pool chair, stretching out his legs. He wears a hat, red and white checkered short sleeve button-up, bolo tie, blue and white striped trousers, grey socks, black shoes, and sunglasses. He was a performer on this eighth annual Floating Jazz Festival run by the Norwegian Cruise Line.",cruise; jazz musician; color photograph,"Doc Cheatham Papers, 1892-1995, IJC MG 8, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv94036,color photograph,image/jpeg,Doc Cheatham Collection,University of Idaho Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,ijcmg008_b001_f002_f003-001,,Caribbean Sea,15.326572,-76.157227,Image;StillImage,,image,https://objects.lib.uidaho.edu/cheatham/ijcmg008_b001_f002_f003-001.jpg,https://objects.lib.uidaho.edu/cheatham/small/ijcmg008_b001_f002_f003-001_sm.jpg,https://objects.lib.uidaho.edu/cheatham/thumbs/ijcmg008_b001_f002_f003-001_th.jpg
