objectid,parentid,filename,title,description,creator,date,date is approximate,subject,location,location-address,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fitzgerald0001,,ijcmg004_b001_f001-001.jpg,Ella Fitzgerald portrait [1],Black and white photographed portait of Ella Fitzgerald.,,1940,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-001,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-001.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-001_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-001_th.jpg
fitzgerald0002,,ijcmg004_b001_f001-002.jpg,Ella Fitzgerald wearing a headscarf,Postcard containing a black and white photograph of Ella Fitzgerald wearing a headscarf,"Randolf, William ""Popsie"" (1920-1978)",1975,,photographic postcard; vocalist; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-002,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-002.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-002_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-002_th.jpg
fitzgerald0003,,ijcmg004_b001_f001-003.jpg,Ella Fitzgerald portrait [2],Postscard containing black and white photographed portait of Ella Fitzgerald.,"Kriegsman, James J. (1908-1994)",1980,,photographic postcard; vocalist; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-003,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-003.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-003_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-003_th.jpg
fitzgerald0004,,ijcmg004_b001_f001-004.jpg,Ella Fitzgerald portrait [3],Postscard containing black and white photographed portait of Ella Fitzgerald.,,,,photographic postcard; vocalist; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-004,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-004.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-004_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-004_th.jpg
fitzgerald0005,,ijcmg004_b001_f001-005.jpg,"Ella Fitzgerald in a paisley dress, holding a microphone","Black and White portrait of Ella Fitzgerald for the cover of ""Ella Fitzgerald Live at the Montreaux Jazz Festival 1975"" record from Pablo records.",,1975-07-15,,jazz; black-and-white photographs; vocalist; musical performance,Casino Montreux,"Rue du Théâtre 9, 1820 Montreux, Switzerland",,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-005,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-005.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-005_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-005_th.jpg
fitzgerald0006,,ijcmg004_b001_f001-006.jpg,Ella Fitzgerald smiling,Black and white photographed portait of Ella Fitzgerald smiling at the camera.,,,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-006,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-006.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-006_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-006_th.jpg
fitzgerald0007,,ijcmg004_b001_f001-007.jpg,Ella Fitzgerald performing in a flowered dress,Black and white photograph of Ella Fitzgerald performing at the empire room of the Waldorf Astoria.,"Frehm, Ron (1924-) ",1971-03-30,,jazz; black-and-white photographs; vocalist; musical performance,Waldorf Astoria (Empire Room),"301 Park Ave, New York, NY 10022",40.75696563,-73.97367079,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-007,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-007.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-007_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-007_th.jpg
fitzgerald0008,,ijcmg004_b001_f001-008.jpg,Ella Fitzgerald in a turtleneck and jacket,Black and white photograph of Ella Fitzgerald wearing a turtleneck and jacket,,,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-008,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-008.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-008_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-008_th.jpg
fitzgerald0009,,ijcmg004_b001_f001-009.jpg,Ella Fitzgerald portrait [4],Black and white photographed portait of Ella Fitzgerald.,,,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-009,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-009.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-009_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-009_th.jpg
fitzgerald0010,,ijcmg004_b001_f001-010.jpg,Ella Fitzgerald wearing a sequined shirt,Black and white photographed portait of Ella Fitzgerald at the Taylor and Rose Award,,1980,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-010,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-010.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-010_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-010_th.jpg
