title,creator,publisher,date,date is approximate?,description,subject,relation,contributing institution,publisher digital,source,type,format,original format,listing code,resource identifier,digitization specifications,rights,standardized rights,language,metadata cataloger,metadata assistants,scanner technician,scanner assistants,collection administrator,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Conga Drum,,,1985,y,"One of a set of conga drums that belonged to Dizzy Gillespie before he gifted them to a fellow musician on May 4, 1987.  Dizzy Gillespie used these conga drums when he performed with J.C. Heard and his Orchestra at the 1987 Montreux-Detroit Jazz Festival.",congas; drums;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,congas drum,IJC006,DG.015,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235450,2014-07-07,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/2,3,3.jpg,/ijcdg/image/3.jpg,ijcdg2,image,ijcdg2.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg2.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg2_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg2_th.jpg,""
Plaster Mask,,,1955,y,A plaster mask made from Dizzy Gillespie's face while he had inflated his cheeks in a signature fashion.,face masks; plaster;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,plaster face mask,IJC006,DG.004,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235362,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/6,6,10.jpg,/ijcdg/image/10.jpg,ijcdg6,image,ijcdg6.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg6.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg6_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg6_th.jpg,""
Wooden Watermelon,,,1992,,A carved piece of wood painted to look like a watermelon with the inscription: 'To Dizzy &quot;A letter from home&quot; Gillespie 1992',carvings;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,wood carving,IJC006,DG.005,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235936,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/7,7,11.jpg,/ijcdg/image/11.jpg,ijcdg7,image,ijcdg7.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg7.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg7_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg7_th.jpg,""
Presented to Dizzy Gillespie,John F. Kennedy Center for the Perfoming Arts,,1990-12-02,,Dedication reads: 'For an extraordinary lifetime of contributions to American Culture through the performing arts.  John F. Kenndy Center for the Performing Arts',,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,award,IJC006,DG.006,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235934,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/8,8,12.jpg,/ijcdg/image/12.jpg,ijcdg8,image,ijcdg8.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg8.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg8_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg8_th.jpg,""
Baha'I Prayers,,,1955,y,A Baha'I Prayer book,,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,book,IJC006,DG.007,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235449,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/9,9,13.jpg,/ijcdg/image/13.jpg,ijcdg9,image,ijcdg9.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg9.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg9_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg9_th.jpg,""
Metal Drum,,,1955,y,Small metal sided drum.,drums;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,metal drum,IJC006,DG.008,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235454,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/10,10,14.jpg,/ijcdg/image/14.jpg,ijcdg10,image,ijcdg10.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg10.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg10_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg10_th.jpg,""
Rhythm Stick,,,1955,y,"A four foot long rhythm stick inscribed with the name ""Dizzy"" on the haft.",percussion sticks;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,percussion sticks,IJC006,DG.009,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235365,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/11,11,15.jpg,/ijcdg/image/15.jpg,ijcdg11,image,ijcdg11.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg11.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg11_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg11_th.jpg,""
Sweater,,,1955,y,"Gray, handknit, turtleneck.  Heavy gauge wool, raglan sleeves.",turtleneck sweaters; clothing;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,turtleneck sweater,IJC006,DG.011,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235453,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/12,12,16.jpg,/ijcdg/image/16.jpg,ijcdg12,image,ijcdg12.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg12.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg12_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg12_th.jpg,""
Sport coat,,,1955,y,"Black and white houndstooth 100% wool.  Fully lined with gray acetate.  Label reads Saks Fifth Avenue,  2 button, single vent.",suits; houndstooth;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,coat,IJC006,DG.012,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235455,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/13,13,17.jpg,/ijcdg/image/17.jpg,ijcdg13,image,ijcdg13.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg13.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg13_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg13_th.jpg,""
T-Shirt,,,2000,,"White, 100% cotton. CFD: gray, black, white, orange with photograph of D. Gillespie.  Text:""Southwest Airlines is Proud to Celebrate Black Music Month, June 1-June 30, 2000."" Southwest Airlines logo on left sleeve hem.",t-shirts;,Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,,image;stillimage,image/jpeg,t-shirt,IJC006,DG.013,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,,668235451,2008-08-27,2014-09-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcdg/id/14,14,18.jpg,/ijcdg/image/18.jpg,ijcdg14,image,ijcdg14.jpg,https://objects.lib.uidaho.edu/ijcdg/ijcdg14.jpg,https://objects.lib.uidaho.edu/ijcdg/small/ijcdg14_sm.jpg,https://objects.lib.uidaho.edu/ijcdg/thumbs/ijcdg14_th.jpg,""
