objectid,parentid,title,title_alternative,creator,publisher,date,date_is_approximate,description,subject,relation,contributing_institution,publisher_digital,source,listing_code,identifier,format_original,format,type,digitization specifications,rights,rightsstatement,language,metadata_cataloger,metadata_assistants,scanner_technician,scanner_assistants,collection_administrator,date created,date modified,reference url,cdmid,CONTENTdm file name,CONTENTdm file path,display_template,filename,object_location,image_small,image_thumb
ijc_lee_morse_001,,Lee Morse Headshot,,S. Peyton,,1925,y,Black and white photograph of Lee Morse in profile. ,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 002, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0002,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/15,15,16.jpg,/ijclm/image/16.jpg,image,ijc_lee_morse_001.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_001.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_001_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_001_th.jpg
ijc_lee_morse_002,,Lee Morse Headshot,,S. Peyton,,1925,y,Black and white photograph of Lee Morse in profile. ,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 003, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0003,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/16,16,17.jpg,/ijclm/image/17.jpg,image,ijc_lee_morse_002.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_002.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_002_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_002_th.jpg
ijc_lee_morse_003,,Lee Morse Headshot,,,Photo and Press Bureau 1562 Broadway N.Y.C.,1925,y,Black and white photograph of Lee Morse.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 004, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0004,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/17,17,18.jpg,/ijclm/image/18.jpg,image,ijc_lee_morse_003.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_003.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_003_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_003_th.jpg
ijc_lee_morse_004,,Lee Morse Headshot,,S. Peyton,Strauss-Peyton Studio,1925,y,Black and white photograph of Lee Morse and an unidenfitied person.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 005, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0005,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/18,18,19.jpg,/ijclm/image/19.jpg,image,ijc_lee_morse_004.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_004.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_004_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_004_th.jpg
ijc_lee_morse_005,,Lee Morse Headshot,,,,1925,y,Black and white photograph of Lee Morse wearing a black hat and a fur stole.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 006, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0006,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/19,19,20.jpg,/ijclm/image/20.jpg,image,ijc_lee_morse_005.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_005.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_005_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_005_th.jpg
ijc_lee_morse_006,,Lee Morse Headshot,,,,1925,y,Black and white photograph of Lee Morse wearing a black hat and a fur stole.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 007, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0007,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/20,20,21.jpg,/ijclm/image/21.jpg,image,ijc_lee_morse_006.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_006.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_006_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_006_th.jpg
ijc_lee_morse_007,,Lee Morse Photograph,,,,1930,y,Black and white photograph of Lee Morse sitting and holding a guitar.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 008, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0008,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/21,21,22.jpg,/ijclm/image/22.jpg,image,ijc_lee_morse_007.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_007.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_007_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_007_th.jpg
ijc_lee_morse_008,,Lee Morse Photograph,,,,1930,y,Black and white photograph of Lee Morse sitting and holding a guitar.,"Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 009, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0009,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/22,22,23.jpg,/ijclm/image/23.jpg,image,ijc_lee_morse_008.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_008.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_008_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_008_th.jpg
ijc_lee_morse_009,,Lee Morse Autographed Photograph,,,,1930,y,"Black and white photograph of Lee Morse holding a guitar. Inscription: For Ruthie- 'Till death do us part!""  Love Lee.","Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 010, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0010,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/23,23,24.jpg,/ijclm/image/24.jpg,image,ijc_lee_morse_009.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_009.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_009_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_009_th.jpg
ijc_lee_morse_010,,Lee Morse Autographed Photograph,,,,1930,y,"Black and white photograph of Lee Morse holding a guitar. Inscription: For Bobbie ""I hate to say goodby"" Love from Lee","Morse, Lee, d. 1954",Lee Morse Collection,International Jazz Collections,University of Idaho Library,"MG 019,  Box 06, Folder 011, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC019,LM.0011,Black & white photographs,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, Epson TWAIN Pro, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-07-28,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijclm/id/24,24,25.jpg,/ijclm/image/25.jpg,image,ijc_lee_morse_010.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_010.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/small/ijc_lee_morse_010_sm.jpg,https://objects.lib.uidaho.edu/ijc/morse_lee/thumbs/ijc_lee_morse_010_th.jpg
