objectid,title,creator,publisher,date,date_is_approximate,description,subject,relation,contributing_institution,publisher_digital,source,listing_code,identifier,format_original,type,format,digitization_specifications,rights,rightsstatement,language,metadata_cataloger,metadata_assistants,scanner_technician,scanner_assistants,collection administrator,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors,object_transcript
ijc_leonard_feather_001,"Drummer Bill Harty, trombonist Glenn Miller, unknown saxophonist, and bandleader Ray Noble",,,1935,y,"3 x 4 3/4 inch photograph; four men. Handwritten on the back of the photograph: Bill Handy, Glen Miller, unknown, Ray Noble","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0314,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2018-02-20,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/61,61,62.jpg,/lfc/image/62.jpg,image,ijc_leonard_feather_001.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_001.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_001_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_001_th.jpg,,
ijc_leonard_feather_002,Larry Marable,,,1970,y,5 x 7 inch photograph; Larry Marable playing the drums,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0315,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/62,62,63.jpg,/lfc/image/63.jpg,image,ijc_leonard_feather_002.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_002.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_002_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_002_th.jpg,,
ijc_leonard_feather_003,Jay McShann,,,1979,,7x 5 inch photograph; Jay McShann playing the piano. Typewritten on the back of the photograph:  Jay McShann at 1979 jazz party,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0316,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/63,63,64.jpg,/lfc/image/64.jpg,image,ijc_leonard_feather_003.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_003.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_003_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_003_th.jpg,,
ijc_leonard_feather_004,Glenn Miller Orchestra,,,1940,y,6 1/4 x 8 inch photograph; Glenn Miller Orchestra. Handwritten on the back of the photograph: B. Woodruf,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0317,Black & white photograph,Image;StillImage,image/jpeg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2018-02-20,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/64,64,65.jpg,/lfc/image/65.jpg,image,ijc_leonard_feather_004.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_004.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_004_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_004_th.jpg,,
ijc_leonard_feather_005,The Glenn Miller band,,,1941,,"7 1/2 x 10 inch photograph; a band. Label on the back of the photograph reads: The Glenn Miller band, 1941; Ray Anthony and Billy May in trumpet section; Tex Beneke and Hal McIntyre in sax section (all later led bands of their own)","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0318,Black & white photograph,Image;StillImage,image/jpeg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/65,65,66.jpg,/lfc/image/66.jpg,image,ijc_leonard_feather_005.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_005.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_005_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_005_th.jpg,,
ijc_leonard_feather_006,Rob McConnell,,,1965,y,10 x 8 inch photograph; Rob McConnell playing the trombone. Also a close-up of the same photograph,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 31, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0319,Black & white photograph,Image;StillImage,image/jpeg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/66,66,67.jpg,/lfc/image/67.jpg,image,ijc_leonard_feather_006.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_006.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_006_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_006_th.jpg,,
ijc_leonard_feather_007,Romano Mussolini and Nunzio Rotondo,,,1965,y,5 x 5 inch photograph; Romano Mussolini playing the piano and Nunzio Rotondo playing the trumpet,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0320,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-10-28,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/67,67,68.jpg,/lfc/image/68.jpg,image,ijc_leonard_feather_007.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_007.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_007_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_007_th.jpg,,
ijc_leonard_feather_008,"Woody Herman, June Christy, Nat King Cole, Mel Torme, and Jimmy Lyons at the KNBC studio",,,1949-09-23,,"5 x 7 inch photograph; Woody Herman, June Christy, Nat King Cole, Mel Torme, and Jimmy Lyons at the KNBC studio. 1949-09-23","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0321,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/68,68,69.jpg,/lfc/image/69.jpg,image,ijc_leonard_feather_008.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_008.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_008_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_008_th.jpg,,
ijc_leonard_feather_009,Phil Moore,"… A. Free…, New York",,1950,y,5 x 5 inch photograph; Phil Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0322,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2018-02-20,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/69,69,70.jpg,/lfc/image/70.jpg,image,ijc_leonard_feather_009.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_009.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_009_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_009_th.jpg,,
ijc_leonard_feather_010,Matrix,,,1975,y,5 x 7 inch photograph; Matrix (jazz group) performing,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 59, Folder 32, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",IJC002IV,LF.IV.0323,Black & white photograph,Image;StillImage,image/jpeg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,2008-07-22,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/lfc/id/70,70,71.jpg,/lfc/image/71.jpg,image,ijc_leonard_feather_010.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/ijc_leonard_feather_010.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/small/ijc_leonard_feather_010_sm.jpg,https://objects.lib.uidaho.edu/ijc/feather_leonard/thumbs/ijc_leonard_feather_010_th.jpg,,
