objectid,parentid,title,creator,publisher,date,date_is_approximate,description,subject,relation,contributing_institution,publisher_digital,source,type,format,original_format,listing_code,identifier,digitization specifications,rights,rightsstatement,language,metadata_cataloger,metadata_assistants,scanner_technician,scanner_assistants,collection administrator,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path
ijc_dizzy_001,ijc_dizzy_003,Conga Drum,,,,,,,,,,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,,2008-08-27,2008-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/0,0,1.jpg,/ijcdg/image/1.jpg
ijc_dizzy_002,ijc_dizzy_003,Conga Drum,,,,,,,,,,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,,2008-08-27,2008-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/1,1,2.jpg,/ijcdg/image/2.jpg
ijc_dizzy_003,,Conga Drum,,,1985,y,"One of a set of conga drums that belonged to Dizzy Gillespie before he gifted them to a fellow musician on May 4, 1987.  Dizzy Gillespie used these conga drums when he performed with J.C. Heard and his Orchestra at the 1987 Montreux-Detroit Jazz Festival.","Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,congas; drums;,IJC006,DG.015,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2014-07-07,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/2,2,3.cpd,/ijcdg/image/3.cpd
ijc_dizzy_004,ijc_dizzy_006,Conga Drum,,,,,,,,,,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,,2008-08-27,2008-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/3,3,4.jpg,/ijcdg/image/4.jpg
ijc_dizzy_005,ijc_dizzy_006,Conga Drum,,,,,,,,,,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,,2008-08-27,2008-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/4,4,5.jpg,/ijcdg/image/5.jpg
ijc_dizzy_006,,Conga Drum,,,1985,y,"One of a set of conga drums that belonged to Dizzy Gillespie before he gifted them to a fellow musician on May 4, 1987.  Dizzy Gillespie used these conga drums when he performed with J.C. Heard and his Orchestra at the 1987 Montreux-Detroit Jazz Festival.","Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,congas; drums;,IJC006,DG.014,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2014-07-07,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/5,5,6.cpd,/ijcdg/image/6.cpd
ijc_dizzy_007,,Plaster Mask,,,1955,y,A plaster mask made from Dizzy Gillespie's face while he had inflated his cheeks in a signature fashion.,"Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,face masks; plaster;,IJC006,DG.004,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-08-27,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/6,6,10.jpg,/ijcdg/image/10.jpg
ijc_dizzy_008,,Wooden Watermelon,,,1992,,A carved piece of wood painted to look like a watermelon with the inscription: 'To Dizzy &quot;A letter from home&quot; Gillespie 1992',"Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,carvings;,IJC006,DG.005,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-08-27,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/7,7,11.jpg,/ijcdg/image/11.jpg
ijc_dizzy_009,,Presented to Dizzy Gillespie,John F. Kennedy Center for the Perfoming Arts,,1990-12-02,,Dedication reads: 'For an extraordinary lifetime of contributions to American Culture through the performing arts.  John F. Kenndy Center for the Performing Arts',"Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,IJC006,DG.006,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-08-27,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/8,8,12.jpg,/ijcdg/image/12.jpg
ijc_dizzy_010,,Baha'I Prayers,,,1955,y,A Baha'I Prayer book,"Gillespie, Dizzy--Archives; Gillespie, John Burkes ""Dizzy"" (1917-1993);",Dizzy Gillespie Collection,International Jazz Collections,University of Idaho Library,"International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image; StillImage,image/jpeg,,IJC006,DG.007,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski,"Kevin Dobbins, Deborah Green",Kevin Dobbins,,Deborah Green and Nathan Bender,2008-08-27,2014-09-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcdg/id/9,9,13.jpg,/ijcdg/image/13.jpg
